patentid,assignee_name_current
US3597106A,General Electric Co
US3569819A,General Electric Co
US3610850A,General Electric Co
US3553282A,General Electric Co
US3573516A,General Electric Co
US3573597A,General Electric Co
US3614255A,General Electric Co
US3585398A,General Electric Co
US2924685A,General Electric Co
US2942223A,General Electric Co
US2942165A,General Electric Co
US2912223A,General Electric Co
US7723120B2,Bl Technologies Inc
US7594388B2,General Electric Co
US7976283B2,General Electric Co
US4796881A,Icon Ip Inc
US4796881A,Weslo Inc
US5125067A,General Electric Co
US5406177A,General Electric Co
US7985560B2,Quidel Cardiovascular Inc
US6687596B2,General Electric Co
US7300708B2,General Electric Co
US5051308A,Sabic Innovative Plastics Ip Bv
US5482667A,Sabic Innovative Plastics Ip Bv
US5816694A,General Electric Co
US4301386A,General Electric Co
US4245318A,General Electric Co
US6149075A,General Electric Co
US5430298A,General Electric Co
US4005330A,General Electric Co
US3640887A,General Electric Co
US6820334B2,General Electric Co
US6432457B1,Nellson Nutraceutical Llc
US5712802A,General Electric Co
US5348566A,General Electric Co
US3973089A,General Electric Co
US6255001B1,General Electric Co
US3786220A,General Electric Co
US7811063B2,General Electric Co
US5212724A,M A Com Private Radio Systems Canada Corp
US5212724A,General Electric Co
US5212724A,M A Com Private Radio Systems Inc
US5508103A,Wells Fargo Capital Finance Llc
US5508103A,Royal Mouldings Ltd
US7246002B2,General Electric Co
US5414045A,Sabic Innovative Plastics Ip Bv
US3802972A,General Electric Co
US6968693B2,General Electric Co
US6572115B1,General Electric Co
US5388803A,Sabic Innovative Plastics Ip Bv
US5060242A,General Electric Co
US4528353A,General Electric Co
US5458461A,General Electric Co
US5354830A,General Electric Co
US5354830A,Witco Corp
US4491719A,Lincoln Electric Co
US9251172B2,Getty Images (Us) Inc
US6166469A,General Electric Co
US5516554A,Diamond Innovations Inc
US5516554A,Ge Superabrasives Inc
US6256367B1,General Electric Co
US6141398A,General Electric Co
US7442444B2,General Electric Co
US7993100B2,General Electric Co
US4311929A,Us Secretary Of Navy
US4243442A,Us Secretary Of Navy
US5241181A,General Electric Co
USD306715S,Saab-Scania Aktiebolog
USD306715S,Saab Scania Ab
US4297842A,General Electric Co
US4000779A,Chemical Bank
US8215907B2,General Electric Co
US6471622B1,Icon Health And Fitness Inc
US6696931B2,Boom Movement Llc
US6696931B2,Dei International Inc
US6696931B2,Polk Holding Corp
US6696931B2,Viper Acquisition Corp
US6696931B2,Viper Borrower Corp Inc
US6696931B2,Polk Audio Llc
US6696931B2,Dei Headquarters Inc
US6696931B2,Dei Holdings Inc
US6696931B2,Definitive Technology Llc
US6696931B2,Dei Sales Inc
US6696931B2,Viper Holdings Corp
US6696931B2,Directed Llc
US4446696A,General Electric Co
US7900438B2,General Electric Co
US7927269B2,General Electric Co
US4262296A,General Electric Co
US3554707A,General Electric Co
US3554707A,United Technologies Corp
US4646024A,General Electric Co
US5925211A,General Electric Capital Corp
US5925211A,Nevamar Co Llc
US6103092A,Sabic Innovative Plastics Ip Bv
US7308073B2,General Electric Co
US3529200A,General Electric Co
US5270657A,General Electric Co
US4328680A,Chemical Bank
US4328680A,Trane International Inc
US6715940B2,Utc Fire And Security Americas Corp Inc
US5024636A,Fairfield Manufacturing Co Inc
US4289360A,General Electric Co
US3735766A,General Electric Co
US9468413B2,General Electric Co
US9668690B1,Intrapace Inc
US5813785A,Loreal Sa
US5813785A,General Electric Capital Corp
US5873420A,General Electric Capital Corp
US5483043A,General Electric Co
US5779641A,General Electric Co
US4355126A,General Electric Co
US5709516A,General Electric Co
US6826009B1,Western Digital Technologies Inc
US6826009B1,General Electric Capital Corp
US6614872B2,General Electric Co
US5108341A,General Electric Capital Corp
US4792712A,General Electric Co
US8022572B2,General Electric Co
US7895745B2,General Electric Co
US5204145A,Diamond Innovations Inc
US9175693B2,General Electric Co
US7896616B2,General Electric Co
US6647934B2,General Electric Co
US6666653B1,General Electric Co
US6581386B2,General Electric Co
US6090294A,Agrimond Llc
US5585697A,General Electric Co
US5174715A,General Electric Co
US5377250A,General Electric Co
US5531570A,General Electric Co
US4100448A,General Electric Co
US4803450A,General Electric Co
US5742512A,General Electric Co
US4222233A,General Electric Co
US6228973B1,Sabic Innovative Plastics Ip Bv
US3572109A,General Electric Co
US6447250B1,General Electric Co
US2219186A,General Electric Co
US2601000A,General Electric Co
