patentid,issuing_country
US10205502B2,United States of America
US6209326B1,United States of America
US8899931B2,United States of America
US7326286B2,United States of America
US5997806A,United States of America
US5372497A,United States of America
US8502402B2,United States of America
US6907722B2,United States of America
US8109150B2,United States of America
US8359859B2,United States of America
US7917342B2,United States of America
US7323125B2,United States of America
US9719419B2,United States of America
US7935939B2,United States of America
US6932952B2,United States of America
US6286328B1,United States of America
US8405497B2,United States of America
US7692326B2,United States of America
US9863637B2,United States of America
US8723375B2,United States of America
US8514055B2,United States of America
US10197003B2,United States of America
US5933977A,United States of America
US8133012B2,United States of America
US7814742B2,United States of America
US5947683A,United States of America
US6896851B1,United States of America
US8222724B2,United States of America
US7300263B2,United States of America
US8556590B2,United States of America
US7160400B2,United States of America
US6282883B1,United States of America
US5011578A,United States of America
US6916551B2,United States of America
US8122720B2,United States of America
US6425257B1,United States of America
US6029739A,United States of America
US8479520B2,United States of America
US5901549A,United States of America
US6116017A,United States of America
US6012401A,United States of America
US4601794A,United States of America
US8222758B2,United States of America
US5329849A,United States of America
US8337960B2,United States of America
US6347910B1,United States of America
US5087325A,United States of America
US7973439B2,United States of America
US8826666B2,United States of America
US8038563B2,United States of America
US5199991A,United States of America
US6742577B2,United States of America
US7064323B2,United States of America
US7658600B2,United States of America
US5512139A,United States of America
US6257034B1,United States of America
US6382732B1,United States of America
US8904794B2,United States of America
US9103438B2,United States of America
US7805923B2,United States of America
US5015500A,United States of America
US9581045B2,United States of America
US5665163A,United States of America
US6457313B1,United States of America
US5840263A,United States of America
US8800296B2,United States of America
US4891891A,United States of America
US8097992B2,United States of America
US6558636B2,United States of America
US7208421B2,United States of America
US8596614B2,United States of America
US8468807B2,United States of America
US5820336A,United States of America
US7707814B2,United States of America
US7932496B2,United States of America
US5507917A,United States of America
US8413715B2,United States of America
US9155993B2,United States of America
US8210810B2,United States of America
US8523521B2,United States of America
US6482351B2,United States of America
US9624788B2,United States of America
US7908866B2,United States of America
US9429412B2,United States of America
US8414262B2,United States of America
US8502405B2,United States of America
US6727510B2,United States of America
US4852229A,United States of America
US5944922A,United States of America
US8742709B2,United States of America
US5111563A,United States of America
US9322388B2,United States of America
US6677547B2,United States of America
US8020379B2,United States of America
US5700357A,United States of America
US6164075A,United States of America
US7690234B2,United States of America
US9696718B2,United States of America
US6092780A,United States of America
US7797921B2,United States of America
US6991429B2,United States of America
US6862888B2,United States of America
US6032713A,United States of America
US10464441B2,United States of America
US8403644B2,United States of America
US8684682B2,United States of America
US5779447A,United States of America
US5918574A,United States of America
US8381668B2,United States of America
US6614000B1,United States of America
US6079944A,United States of America
US9661718B2,United States of America
US8001760B2,United States of America
US6863875B1,United States of America
US5916414A,United States of America
US6322643B1,United States of America
US8161889B2,United States of America
US6007299A,United States of America
US6516824B2,United States of America
US7755777B2,United States of America
US8800354B2,United States of America
US5678321A,United States of America
US6578689B2,United States of America
US6932693B2,United States of America
US6966188B2,United States of America
US9003800B2,United States of America
US4501197A,United States of America
US7416344B2,United States of America
US5730069A,United States of America
US8164211B2,United States of America
US4875976A,United States of America
US5144758A,United States of America
US5583420A,United States of America
US5967347A,United States of America
US6065931A,United States of America
US8088348B2,United States of America
US6331102B1,United States of America
US6502399B2,United States of America
US8596984B2,United States of America
US8562828B2,United States of America
US4495712A,United States of America
US8178988B2,United States of America
US10066532B2,United States of America
US7982330B1,United States of America
US5998904A,United States of America
US6656440B2,United States of America
US8074315B2,United States of America
US6685516B2,United States of America
US8196358B2,United States of America
US7275422B2,United States of America
US4974340A,United States of America
US7075315B2,United States of America
US8082748B2,United States of America
US6814345B2,United States of America
US4859439A,United States of America
US6267657B1,United States of America
US7990100B2,United States of America
US8319364B2,United States of America
US6151791A,United States of America
US6345724B1,United States of America
US8353113B2,United States of America
US8042386B2,United States of America
US4485567A,United States of America
US6223520B1,United States of America
US10527588B2,United States of America
US8341840B2,United States of America
US6431267B1,United States of America
US4823688A,United States of America
US7683556B2,United States of America
US8368238B2,United States of America
US9127693B2,United States of America
US8242618B2,United States of America
US7909572B2,United States of America
US7354663B2,United States of America
US8371976B2,United States of America
US4975152A,United States of America
US6220949B1,United States of America
US6361296B1,United States of America
US6065583A,United States of America
US8818471B2,United States of America
US5000926A,United States of America
US5919388A,United States of America
US8224600B2,United States of America
US6047551A,United States of America
US8561562B2,United States of America
US8397486B2,United States of America
US10177692B2,United States of America
US7501104B2,United States of America
US8460515B2,United States of America
US8353979B2,United States of America
US7695588B2,United States of America
US6474947B1,United States of America
US4941950A,United States of America
US9163838B2,United States of America
US8786867B2,United States of America
US8901457B2,United States of America
US9333563B2,United States of America
US4498249A,United States of America
US8043537B2,United States of America
US8867688B2,United States of America
US6030203A,United States of America
US8033791B1,United States of America
US8276273B2,United States of America
US8165738B2,United States of America
US8371030B2,United States of America
US5010840A,United States of America
US5840390A,United States of America
US7578666B2,United States of America
US7969052B2,United States of America
US6128895A,United States of America
US8657578B2,United States of America
US6531049B1,United States of America
US6789617B1,United States of America
US6880325B2,United States of America
US6006703A,United States of America
US8322289B2,United States of America
US8450867B2,United States of America
US6315969B1,United States of America
US6534211B1,United States of America
US8973361B2,United States of America
US8590464B2,United States of America
US9653924B2,United States of America
US10294912B2,United States of America
US5951824A,United States of America
US8979616B2,United States of America
US6746287B2,United States of America
US8402906B2,United States of America
US9163642B2,United States of America
US7954337B2,United States of America
US6025298A,United States of America
US8001790B2,United States of America
US9328720B2,United States of America
US9495717B2,United States of America
US8813502B2,United States of America
US8460586B2,United States of America
US6986246B2,United States of America
US8504178B2,United States of America
US5534117A,United States of America
US5133996A,United States of America
US6997108B2,United States of America
US8522636B2,United States of America
US7936460B2,United States of America
US8295988B2,United States of America
US6605750B1,United States of America
US6504068B1,United States of America
US5515408A,United States of America
US8212372B2,United States of America
US8713793B2,United States of America
US4538360A,United States of America
US9157425B2,United States of America
US8151572B2,United States of America
US8186966B2,United States of America
US8777585B2,United States of America
US6193699B1,United States of America
US8672628B2,United States of America
US6486218B2,United States of America
US5015336A,United States of America
US5077095A,United States of America
US8408801B2,United States of America
US5599392A,United States of America
US7001688B2,United States of America
US8790433B2,United States of America
US7482724B2,United States of America
US7661270B2,United States of America
US5993587A,United States of America
US10281142B2,United States of America
US6341937B1,United States of America
US7766607B2,United States of America
US9140271B2,United States of America
US9169769B2,United States of America
US8734095B2,United States of America
US5785901A,United States of America
US8038377B2,United States of America
US4728396A,United States of America
US6351720B1,United States of America
US5064502A,United States of America
US8741014B2,United States of America
US7216548B2,United States of America
US6161887A,United States of America
US7749938B2,United States of America
US6099691A,United States of America
US8840368B2,United States of America
US5160583A,United States of America
US8246308B2,United States of America
US9059620B2,United States of America
US9169829B2,United States of America
US9341163B2,United States of America
US8550778B2,United States of America
US8851844B2,United States of America
US9157449B2,United States of America
US8364358B2,United States of America
US8237926B2,United States of America
US4973441A,United States of America
US8123232B2,United States of America
US6116704A,United States of America
US8974176B2,United States of America
US5738007A,United States of America
US9312799B2,United States of America
US8869716B2,United States of America
US8155813B2,United States of America
US4860686A,United States of America
US8794004B2,United States of America
US6141957A,United States of America
US8405239B2,United States of America
US7451604B2,United States of America
US8573950B2,United States of America
US5010633A,United States of America
US9714658B2,United States of America
US8220249B2,United States of America
US4734164A,United States of America
US7939038B2,United States of America
US7906919B2,United States of America
US8869367B2,United States of America
US6644754B2,United States of America
US8454801B2,United States of America
US8172542B2,United States of America
US6237493B1,United States of America
US6220036B1,United States of America
US6049998A,United States of America
US6852428B2,United States of America
US7906090B2,United States of America
US6190620B1,United States of America
US9287814B2,United States of America
US5964277A,United States of America
US9863262B2,United States of America
US9878388B2,United States of America
US6857325B2,United States of America
US6514059B1,United States of America
US6909766B2,United States of America
US6595724B2,United States of America
US8324751B2,United States of America
US8647421B2,United States of America
US5127141A,United States of America
US4544449A,United States of America
US7235220B2,United States of America
US7476081B2,United States of America
US8061325B2,United States of America
US7453630B2,United States of America
US4517056A,United States of America
US8433539B2,United States of America
US10213888B2,United States of America
US8739528B2,United States of America
US6114675A,United States of America
US8707671B2,United States of America
US7278508B2,United States of America
US9163188B2,United States of America
US6230483B1,United States of America
US6966200B2,United States of America
US4495711A,United States of America
US8667912B2,United States of America
US6562728B2,United States of America
US8232662B2,United States of America
US6506348B1,United States of America
US9841004B2,United States of America
US6523352B1,United States of America
US7704472B2,United States of America
US9188127B2,United States of America
US6479026B1,United States of America
US8607716B2,United States of America
US4649780A,United States of America
US8435005B2,United States of America
US8936069B2,United States of America
US4045338A,United States of America
US8409722B2,United States of America
US8141335B2,United States of America
US6079212A,United States of America
US8215912B2,United States of America
US8909763B2,United States of America
US7028762B2,United States of America
US8104408B2,United States of America
US8317466B2,United States of America
US9359569B2,United States of America
US8985969B2,United States of America
US9587515B2,United States of America
US9045220B2,United States of America
US6520198B1,United States of America
US6105471A,United States of America
US8206097B2,United States of America
US8425360B2,United States of America
US8408883B2,United States of America
US5921000A,United States of America
US4878299A,United States of America
US5279049A,United States of America
US5873313A,United States of America
US6196791B1,United States of America
US5783045A,United States of America
US8414668B2,United States of America
US9981331B2,United States of America
US8777565B2,United States of America
US8181532B2,United States of America
US8591177B2,United States of America
US5546675A,United States of America
US8298108B2,United States of America
US8876978B2,United States of America
US4574651A,United States of America
US9278732B2,United States of America
US5441604A,United States of America
US6327845B2,United States of America
US6152694A,United States of America
US8556583B2,United States of America
US5152874A,United States of America
US6558637B2,United States of America
US5225449A,United States of America
US6609379B2,United States of America
US8662010B2,United States of America
US5335743A,United States of America
US6109525A,United States of America
US5527628A,United States of America
US9080454B2,United States of America
US5033458A,United States of America
US5329893A,United States of America
US5337864A,United States of America
US4495457A,United States of America
US4512609A,United States of America
US4531080A,United States of America
US8846147B2,United States of America
US4580210A,United States of America
US5611301A,United States of America
US4301373A,United States of America
US5003483A,United States of America
US5117744A,United States of America
US5653495A,United States of America
US7616077B1,United States of America
US4390124A,United States of America
US5105303A,United States of America
US5244248A,United States of America
US3886372A,United States of America
US3970128A,United States of America
US4272783A,United States of America
US7377749B2,United States of America
US4392368A,United States of America
US4966403A,United States of America
US9238595B2,United States of America
US6988369B2,United States of America
US4911134A,United States of America
US5350335A,United States of America
US9427834B2,United States of America
US4513509A,United States of America
US4106538A,United States of America
US6290354B1,United States of America
US9045992B2,United States of America
US4386641A,United States of America
US4778039A,United States of America
US9127337B2,United States of America
US4889087A,United States of America
US4928582A,United States of America
US6414625B1,United States of America
US3963938A,United States of America
US4467427A,United States of America
US10508559B2,United States of America
US4240477A,United States of America
US8919136B2,United States of America
US7619331B2,United States of America
US5314319A,United States of America
US4627559A,United States of America
US5526793A,United States of America
US4715648A,United States of America
US5626214A,United States of America
US4585316A,United States of America
US4614151A,United States of America
US9033673B2,United States of America
US8580387B1,United States of America
US9790802B2,United States of America
US5365900A,United States of America
US5186291A,United States of America
US8920935B2,United States of America
US9062562B2,United States of America
US6889543B2,United States of America
US9581039B2,United States of America
US8541146B2,United States of America
US9261008B2,United States of America
US4484445A,United States of America
US9592907B2,United States of America
US5810426A,United States of America
US4529151A,United States of America
US4566569A,United States of America
US4484550A,United States of America
US4482156A,United States of America
US10190426B2,United States of America
US10239795B2,United States of America
US4465123A,United States of America
US9528378B2,United States of America
US4637651A,United States of America
US8846218B2,United States of America
US9197088B2,United States of America
US4823674A,United States of America
US9284842B2,United States of America
US7788818B1,United States of America
US9643341B2,United States of America
US10432016B2,United States of America
US4589061A,United States of America
US4391258A,United States of America
US10128652B2,United States of America
US9784112B2,United States of America
US9457435B2,United States of America
US10069494B2,United States of America
US5578803A,United States of America
US9638105B2,United States of America
US9423330B2,United States of America
US10364022B2,United States of America
US5474198A,United States of America
US7393145B1,United States of America
US4848287A,United States of America
US8991151B2,United States of America
US10240466B2,United States of America
US10273817B2,United States of America
US10329930B2,United States of America
US9803556B2,United States of America
US10183450B2,United States of America
US10329023B2,United States of America
US10029799B2,United States of America
US9415863B2,United States of America
US5034570A,United States of America
US7078886B2,United States of America
US10107111B2,United States of America
US4870296A,United States of America
US9869621B2,United States of America
US10019549B2,United States of America
US5663619A,United States of America
US10023303B2,United States of America
US5435275A,United States of America
US10180070B2,United States of America
US4887191A,United States of America
US10132171B2,United States of America
US8997451B2,United States of America
US10315367B2,United States of America
USD312351S,United States of America
US10041196B2,United States of America
US10464690B2,United States of America
US10000278B2,United States of America
US9188013B2,United States of America
US10239608B2,United States of America
US10402678B2,United States of America
US9828917B2,United States of America
US9598178B2,United States of America
US8046742B1,United States of America
US10513345B2,United States of America
US10504308B2,United States of America
US9924920B2,United States of America
US8684255B2,United States of America
US10266254B2,United States of America
US10471553B2,United States of America
US10364479B2,United States of America
US10266162B2,United States of America
US9987781B2,United States of America
US10160536B2,United States of America
US10519786B2,United States of America
US4618023A,United States of America
US9900383B2,United States of America
US10513945B2,United States of America
US10309419B2,United States of America
US4688444A,United States of America
US5417068A,United States of America
US7936082B2,United States of America
US9737699B2,United States of America
US8394056B2,United States of America
US6759977B1,United States of America
